driver	points	stages	DAY	ATL	COA	PHO	LVS	DAR	MAR	BRI	KAN	TAL	TEX
Tyler Reddick	526	87	1	1*	1*	8	13	1	15	4	1	14	4
Denny Hamlin	417	91	31	13	10	5	1*F	11	2*12F	9	4*1	15	2
Chase Elliott	409	61	4	11	7	23	2	15	1	22	8	4	1*2F
Ryan Blaney	371	87	27	10	8	11	16	3	6	2F	24	37	10
Chris Buescher	345	62	7	15	24	14	6	9	19	13	10	2	5
Carson Hocevar	333	53	18F	4	31	20	22	4	17	10	13	1	7
Ty Gibbs	330	66	23	37	42	4	5	6	4	1	9	34	36
Kyle Larson	318	91	16	32	6	3	7	32	9	3*12	22	40	34
Brad Keselowski	311	50	5	17	20	15	10	2*12	13	14	6	31	13
William Byron	308	57	12	28	13	7	32	8	5	30	7	35	8
Bubba Wallace	304	71	10*2	8	11	6	9	34F	36	11	5	36	9
Christopher Bell	291	73	35	21	3	2*2	41	19	7	27	20F	17*	38
Ryan Preece	273	43	25	9	18	13	11	13	12	8	11	18	14
Daniel Suárez	271	31	13	5	25	30	18	7	20	12	19	12	6
Austin Cindric	248	50	34	26	32	34	19	5	8	16	12	8	15
Chase Briscoe	242	38	36	2	37	37	8	12	14	5	3	29	23
Joey Logano	235	54	3	18	15	31F	15	33	3	7	30	39	37
Ross Chastain	216	22	20	3	35	28	17	16	16	20	26	7	26
Shane van Gisbergen	215	24	30	6	2	11	36	14	11	34	36	20	17
A. J. Allmendinger	199	19	19	12	9	19	24	30	27	15	31	16	25
Zane Smith	198	11	61	7	33	27	14	22	34	19	32	5F	22
Erik Jones	196	10	21	24	34	10	20	10	21	23	23	23	12
Michael McDowell	189	19	22	20	5	9	26	20	18	24	34	32	27
Ricky Stenhouse Jr.	187	19	2	36	28	22	29	29	30	17	21	6	19
Todd Gilliland	186	19	39	25	21	12	34	23	23	6	17	11	32
Kyle Busch	182	16	15	34	12	17	28	21	24	25	35	10	20
Austin Dillon	182	8	37	29	19	16	12	25	25	18	16	19	18
Riley Herbst	173	12	8	33	23	18	23	35	35	21	14	25	11
John Hunter Nemechek	157	14	26	19	17	25	21	27	29	35	22	22	21
Josh Berry	155	30	9	38	26	32	31	17	10	32	27	33	29
Noah Gragson	153	4	11	14	22	36	30	26	28	26	28	9	28
Ty Dillon	136	0	14	16	16	26	33	31	37	29	33	13	24
Connor Zilisch (R)	124	2	33	30	14	29	32	18	26	33	29	26	16
Alex Bowman	115	11	40	23	36					37	18	3	3
Cody Ware	92	4	17	27	30	24	35	36	32	31	37	21	30
Cole Custer	91	3	24	22F	29	35	27	28	31	28	25	38	35
Casey Mears	9	3	32	Wth						DNQ		
B. J. McLeod	3	0	41	35								
