driver	points	stages
Kaden Honeycutt	257	80
Chandler Smith	243	41
Layne Riggs	238	70
Gio Ruggiero	226	43
Ben Rhodes	223	60
Christian Eckes	220	43
Ty Majeski	212	58
Corey Heim	204	54
Tyler Ankrum	165	18
Stewart Friesen	163	24
Jake Garcia	155	25
Justin Haley	154	8
Daniel Hemric	146	6
Brenden Queen (R)	144	2
Tanner Gray	135	25
Grant Enfinger	132	17
Andrés Pérez de Lara	123	10
Dawson Sutton	117	7
Cole Butcher (R)	106	7
Mini Tyrrell (R)	99	5
Kris Wright	89	0
Frankie Muniz	81	0
Spencer Boyd	73	0
Landen Lewis	71	17
Connor Mosack	65	9
Daniel Dye	64	0
Corey LaJoie	54	4
Josh Reaume	47	0
Tyler Reif	44	0
Clayton Green	42	0
Adam Andretti	41	0
Timmy Hill	39	0
Nick Leitz	31	5
Caleb Costner	31	0
Colin Braun	28	0
James Hinchcliffe	27	0
Ben Maier	26	0
Parker Kligerman	26	0
Conner Jones	25	0
Travis Pastrana	22	0
Luke Baldwin	21	0
Clay Greenfield	19	0
Toni Breidinger	19	0
Dario Franchitti	18	8
Connor Hall	17	0
Carter Fartuch	16	0
Carson Ferguson	16	0
Michael Christopher Jr.	14	0
Parker Eatmon	14	3
Justin Carroll	13	0
Tyler Tomassi	8	0
Jackson Lee	8	0
Jason Kitzmiller	7	0
Jason White	4	0
Nathan Nicholson	3	0
Cory Roper	3	0
Derek White	2	0
Tony Stewart	1	0
Wesley Slimp	1	0
Kyle Busch	0	0
Christopher Bell	0	0
Carson Hocevar	0	0
Ross Chastain	0	0
Brandon Jones	0	0
John Hunter Nemechek	0	0
Ricky Stenhouse Jr.	0	0
William Sawalich	0	0
Ty Dillon	0	0
A. J. Allmendinger	0	0
Sammy Smith	0	0
Chase Briscoe	0	0
Daniel Suárez	0	0
Michael McDowell	0	0
Taylor Gray	0	0
Garrett Mitchell	0	0
Shane van Gisbergen	0	0
Connor Zilisch	0	0
Brent Crews	0	0
Natalie Decker	0	0
