driver	points	stages
Justin Allgaier	598	179
Sheldon Creed	477	70
Jesse Love	431	94
Corey Day	400	65
Brandon Jones	394	99
Sammy Smith	376	51
Austin Hill	357	58
Carson Kvapil	357	97
Parker Retzlaff	329	43
Taylor Gray	306	51
William Sawalich	303	48
Sam Mayer	285	58
Ryan Sieg	277	25
Brent Crews (R)	273	50
Rajah Caruth	271	53
Brennan Poole	238	0
Dean Thompson	217	14
Jeb Burton	211	13
Jeremy Clements	208	16
Anthony Alfredo	202	21
Blaine Perkins	193	12
Patrick Staropoli (R)	173	0
Harrison Burton	169	13
Lavar Scott (R)	153	0
Josh Bilicki	142	0
Kyle Sieg	127	0
Austin Green	124	5
Josh Williams	119	0
Ryan Ellis	114	0
Joey Gase	97	0
Garrett Smithley	83	0
Nick Sanchez	81	6
J. J. Yeley	75	0
Mason Maggio	56	0
Nathan Byrd	48	0
Alex Labbé	44	0
Jordan Anderson	33	0
Lee Pulliam	32	0
Luke Fenhaus (R)	31	0
Myatt Snider	22	0
Andrew Patterson	22	0
Carson Ware	18	0
Brad Perez	17	0
Blake Lothian	16	0
Dawson Cram	15	0
Preston Pardus	10	0
Gray Gaulding	9	0
David Starr	9	0
Natalie Decker	8	0
Garrett Mitchell	5	0
Logan Bearden	4	0
Austin J. Hill	4	0
Sage Karam	2	0
Baltazar Leguizamón	1	0
Kyle Larson	0	0
Connor Zilisch	0	0
Shane van Gisbergen	0	0
Chase Briscoe	0	0
Christopher Bell	0	0
Ross Chastain	0	0
William Byron	0	0
Cole Custer	0	0
Patrick Emerling	0	0
Daniel Dye	0	0
Chad Finchum	0	0
Nick Leitz	0	0
Carson Hocevar	0	0
Chandler Smith	0	0
Austin Dillon	0	0
Gio Ruggiero	0	0
Cody Ware	0	0
Tyler Ankrum	0	0
Luke Baldwin	0	0
Justin Carroll	0	0
